"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","population_proper","density","source","incorporated","timezone","zips","id","EWG_City","PRIMACY_AGENCY_CODE","ins","del","sub"
"Clarkson","Clarkson","NY","New York",36055,"Monroe",43.2398,-77.9162,NA,NA,496.6,"polygon",FALSE,"America/New_York","14420 14430",1840026164,"Clay","NY",4,0,1
"Cayuga","Cayuga","NY","New York",36011,"Cayuga",42.9191,-76.7265,523,523,223,"polygon",TRUE,"America/New_York","13034",1840004246,"Clay","NY",3,1,0
"Cayuga Heights","Cayuga Heights","NY","New York",36109,"Tompkins",42.468,-76.4874,3751,3751,819,"polygon",TRUE,"America/New_York","14850",1840004546,"Clay","NY",11,1,0
"Clyde","Clyde","NY","New York",36117,"Wayne",43.0839,-76.8707,1990,1990,349,"polygon",TRUE,"America/New_York","14433",1840004298,"Clay","NY",2,1,0
"Clarence","Clarence","NY","New York",36029,"Erie",42.9739,-78.593,NA,NA,432.2,"polygon",FALSE,"America/New_York","14031",1840026184,"Clay","NY",4,0,1
"Williston Park","Williston Park","NY","New York",36059,"Nassau",40.7588,-73.6465,7360,7360,4542,"polygon",TRUE,"America/New_York","11596",1840005333,"Clifton Park","NY",2,0,2
"Saint James","Saint James","NY","New York",36103,"Suffolk",40.8761,-73.1521,NA,NA,1680.9,"polygon",FALSE,"America/New_York","11780",1840005103,"St James","NY",3,0,0
"Vermilion","Vermilion","OH","Ohio",39043,"Erie",41.4103,-82.3214,10453,10453,379,"polygon",TRUE,"America/New_York","44089",1840010234,"Vermiliion","OH",0,1,0
"McDermott","McDermott","OH","Ohio",39145,"Scioto",38.8344,-83.0583,NA,NA,289.1,"polygon",FALSE,"America/New_York","45652",1840026702,"Mcdermott","OH",0,0,0
"McAlester","McAlester","OK","Oklahoma",40121,"Pittsburg",34.9262,-95.7698,19140,18044,430,"polygon",TRUE,"America/Chicago","74501 74502",1840020457,"Mcalester","OK",0,0,0
"McMinnville","McMinnville","OR","Oregon",41071,"Yamhill",45.211,-123.1918,41583,34347,1253,"polygon",TRUE,"America/Los_Angeles","97128",1840019956,"Mcminnville","OR",0,0,0
"Saint Helens","Saint Helens","OR","Oregon",41009,"Columbia",45.8572,-122.8163,27278,13701,1112,"polygon",TRUE,"America/Los_Angeles","97051",1840021185,"St Helens","OR",3,0,0
"Levittown","Levittown","PA","Pennsylvania",42017,"Bucks",40.1537,-74.853,NA,NA,2273.9,"polygon",FALSE,"America/New_York","19054 19055 19056 19057 19058",1840005408,"Levittown,","PA",0,1,0
"Jamison City","Jamison City","PA","Pennsylvania",42037,"Columbia",41.2984,-76.3689,NA,NA,41.9,"polygon",FALSE,"America/New_York","17814",1840035032,"Jamison","PA",5,0,0
"Wilkes-Barre","Wilkes-Barre","PA","Pennsylvania",42079,"Luzerne",41.2468,-75.8759,40806,40806,2257,"polygon",TRUE,"America/New_York","18702 18701 18705 18703 18710 18711 18762 18765 18766 18767 18769 18773",1840000777,"Wilkes-barre","PA",0,0,0
"Wilkes-Barre","Wilkes-Barre","PA","Pennsylvania",42079,"Luzerne",41.2468,-75.8759,40806,40806,2257,"polygon",TRUE,"America/New_York","18702 18701 18705 18703 18710 18711 18762 18765 18766 18767 18769 18773",1840000777,"Wilkes Barre","PA",0,0,1
"McMurray","McMurray","PA","Pennsylvania",42125,"Washington",40.2815,-80.0874,NA,NA,519.2,"polygon",FALSE,"America/New_York","15367 15317",1840005434,"Mcmurray","PA",0,0,0
"Saint Marys","Saint Marys","PA","Pennsylvania",42047,"Elk",41.4574,-78.5342,9071,12370,48,"polygon",TRUE,"America/New_York","15857",1840000618,"St Marys","PA",3,0,0
"Hopkinton","Hopkinton","RI","Rhode Island",44009,"Washington",41.4622,-71.7783,NA,NA,108,"polygon",FALSE,"America/New_York","02833 02804",1840035709,"Hope","RI",5,0,1
"Hope Valley","Hope Valley","RI","Rhode Island",44009,"Washington",41.5151,-71.72,NA,NA,136,"polygon",FALSE,"America/New_York","02832",1840003364,"Hope","RI",7,0,0
"Cumberland Hill","Cumberland Hill","RI","Rhode Island",44007,"Providence",41.9736,-71.4605,NA,NA,2286.4,"polygon",FALSE,"America/New_York","02864",1840003291,"Cumberland","RI",5,0,0
"Mount Pleasant","Mount Pleasant","SC","South Carolina",45019,"Charleston",32.8533,-79.8269,86668,86668,741,"polygon",TRUE,"America/New_York","29466 29464 29465",1840017286,"Mt Pleasant","SC",3,0,0
"Myrtle Beach","Myrtle Beach","SC","South Carolina",45051,"Horry",33.7096,-78.8843,260487,32795,536,"polygon",TRUE,"America/New_York","29572 29577 29578",1840014717,"N Myrtle Beach","SC",0,2,0
"North Myrtle Beach","North Myrtle Beach","SC","South Carolina",45051,"Horry",33.8228,-78.7093,16310,16310,294,"polygon",TRUE,"America/New_York","29582 29568 29566 29597",1840014718,"N Myrtle Beach","SC",4,0,0
"Soddy-Daisy","Soddy-Daisy","TN","Tennessee",47065,"Hamilton",35.2571,-85.174,13693,13693,228,"polygon",TRUE,"America/New_York","37343 37379 37384",1840035990,"Soddy-daisy","TN",0,0,0
"Tiptonville","Tiptonville","TN","Tennessee",47095,"Lake",36.387,-89.4678,4325,4325,820,"polygon",TRUE,"America/Chicago","38079",1840016072,"Tipton","TN",5,0,0
